enhancer	status	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41
sog_chrX_15501630_15503130	Dl09_1500	1715.6	10.9	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	1183.67	2147.65	3852.92	6	-1.7120711804	-138.540774638	205	-0.5039210594	1.7501754761	2.1232318878	-0.583052405	-0.8876096928	3.358956337	2.7290644646	3.9735507965	2493.21	-51.654581424	-704.086730004	4399.27	2609.85	3260.9	1	2	22.5458	1270.81	1318.44503514	3958.82186618	6806.85709838	1754.69028461	7253.88801742	7457.30105749	1011.13867022	1687.51587318	5839.20188732
sog_chrX_15519627_15521127	Dl09_1500	1911.2	13.88	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	3946.61	2147.65	2456.45	6	4.920818754	-138.540774638	-92.1272047072	2.3189630508	2.1325831413	1.8096175194	2.7541308403	1.6367964745	-0.8697067211	4.7460870743	4.7028050422	5825.41	500.355	4335.24	1690.1	5895.43	1512.67	-0.3207914114	1	151.4775	-784.212239968	579.533333333	602.493661741	4026.37846889	302.231294	7253.88801742	7457.30105749	439.70707457	377.351503519	4069.28187135
sog_chrX_15540271_15541771	Dl09_1500	3288.8	28.88	6.85	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	5377.51	1117.17	-1080.28955536	6	6	429	223	2.5759067535	3.9179930687	2.9135022163	3.2103228569	1.9363908767	3.0505275726	6.4992985726	8.6422290802	3783.63	441.975	-704.086730004	5479.34	1415.38	4132.3	1	1	687.16	2616.38	1537.61712126	1259.73509286	4774.37759315	278.933333333	6841.84045881	4437.41650898	26.6591627885	425.373411234	4570.25180558
sna_chr2L_15470567_15472067	Dl09_1500	472.6	6.62	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	1.257	1282.57	1216.25	1209.53	4.19	5.397940009	-138.540774638	-92.1272047072	-0.5039210594	1.7355837822	1.3777382374	-0.583052405	-0.8876096928	4.306289196	-0.5370195267	4.3556520939	-808.162744989	211.04	1315.48	-634.173214937	1246.45	-658.634837531	1	1	120.356	2367.21	2237	2737.24764136	6454.52403393	1091.14110423	7875.14849068	8136.29166337	1603.13867566	864.213207547	6840
sna_chr2L_15474493_15475993	Dl09_1500	450.2	4.28	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	-10829.7231927	1334.16	2.64	3.156767222	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.7820124626	1.8253712654	5.3072600365	-0.8697067211	0.9258813858	1.4956183433	-808.162744989	-51.654581424	-704.086730004	-634.173214937	2791.77	-658.634837531	-0.3207914114	1	-59.2812955354	-784.212239968	2117.83590504	3532.33022636	6454.52403393	1503.69152061	7875.14849068	8136.29166337	1089.24888889	518.666069078	6813.42314196
sna_chr2L_15480117_15481617	Dl09_1500	5257.9	23.03	4.39	2.418	1.943	0.828	4.077	9670.27	1117.17	2443.98	12	17.99730015	-138.540774638	606	2.4068827629	2.6142411232	2.7501630783	2.472032547	6.4503669739	2.7403459549	7.0987672806	8.9790687561	7817.72	763.81	-704.086730004	7108.44	1220.46	6129.19	1	3	569.215	3961.94	2470.13982145	3444.47426395	6454.52403393	1561.88311688	7875.14849068	7856.64474501	1727.24049001	776.454686573	6991.53312303
sna_chr2L_15485598_15487098	Dl09_1500	3502.8	14.85	4.28	1.26	1.7065	-1.9519128885	0.716	3822.98	1265.79	3753.22	6	6	-138.540774638	-92.1272047072	0.6955165863	2.4746322632	2.6046538353	2.7415151596	4.1850023269	4.7911396026	5.968585968	10.0035476685	1227.82	404.525	2205.19	2977.58	2778.78	1565.01	1	1	2343.178	3550.81	1351.13333333	2829.09372736	6454.52403393	1230.5386077	7875.14849068	7856.64474501	785.231716907	779.385161964	6268.75545036
sna_chr2L_15491092_15492592	Dl09_1500	272.4	7.8	4.58	0.47	0.9485	-1.9519128885	-0.112	1245.48	1241.02	-1080.28955536	6	8.63601217	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	2.5323624611	1.9499082565	3.2237820625	3.2607693673	1.8585879803	6.1870694161	2969.06	201.62	1140.16	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	1	210.7134	-784.212239968	1948.85881679	3642.57907543	6454.52403393	1316.13333333	7721.15988868	7856.64474501	1637.2	1378.78615385	6268.75545036
sna_chr2L_15498895_15500395	Dl09_1500	62.4	4.03	-1.071117458	-0.942	-4.1990460938	-1.9519128885	-0.348	3847.7	-10829.7231927	1234.45	3.07	-1.7120711804	424	-92.1272047072	-0.5039210594	-0.6117277838	2.5117015839	-0.583052405	-0.8876096928	1.8282928467	-0.5370195267	1.4537053108	1328	276.57	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	1	59.0396	1582.29	482.155145929	560.744036106	6454.52403393	212.866666667	7721.15988868	7808.4922955	61.4490913274	240.733333333	5508.7172461
vnd_chrX_469752_471252	Dl09_1500	383.3	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	0.519	-2.826286439	-11421.256804	1080.02	3815.53	4.21	1.326803935	-138.540774638	279	-0.5039210594	-0.6117277838	2.0403490067	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	2.7379083633	-808.162744989	-51.654581424	1290.43	-634.173214937	3220.61	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	2466.87	2341.70233	3049.40517845	6920.3050965	1240.70605627	8105.25263541	8201.14658828	851.259403372	2527.42021875	5575.75897127
vnd_chrX_483440_484940	Dl09_1500	4486.1	37.1	7.57	1.876	-0.5005	2.612	3.15	19362.15	3289.59	8990.15	18	22.390406391	-138.540774638	286	5.4815843105	5.2486200332	3.2515902519	4.6388034821	5.8121566773	9.3530387879	13.829022646	11.8118782044	8907.17	742.05	1127.64	6901.03	6557.12	5854.35	-0.3207914114	3	1153.9907	6079.96	977.982578951	1326.11474046	6119.38110749	704.913275862	8188.12961498	8201.14658828	610.820821113	564.053009387	5575.75897127
Kr_chr2R_21085345_21086845	Dl09_1500	577.2	5.66	-1.071117458	0.345	2.163	-1.874	1.128	1220.76	-10829.7231927	1533.58	-1.8820256979	5.970755868	634	-92.1272047072	-0.5039210594	-0.6117277838	0.9319572449	-0.583052405	2.6504626274	3.8109850883	-0.5370195267	3.0016980171	1090.07	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1	1	12.37513	-784.212239968	1873	1928.91767656	4691.58753709	439.181395349	6445.2864815	6964.41498696	804.150069735	974.919136415	4649.92146034
Kr_chr2R_21091972_21093472	Dl09_1500	358.7	9.13	-1.071117458	0.546	0.2805	-0.391	2.704	1294.93	1092.4	1172.13	15.4	11.139567956	-138.540774638	373	-0.5039210594	-0.6117277838	0.783987999	-0.583052405	1.0708417892	-0.8697067211	-0.5370195267	3.7447757721	-808.162744989	-51.654581424	1039.98	1287.48	2713.81	1368.71	2	-0.2961448371	66.1918	2603.93	2095.74001947	3174.24021013	5756.92439479	750.657196262	6973.86825305	6604.30192903	1139.0003032	922.281763909	5778.08701341
Kr_chr2R_21097355_21098855	Dl09_1500	236.8	-4.0490342687	-1.071117458	0.375	-4.1990460938	-1.9519128885	0.524	-11421.256804	-10829.7231927	1246.92	5	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.6527194977	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	4.1974482536	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1	-0.2961448371	10.5054	1233.44	1490.54695122	1106.85531661	4166.12676516	223.700102775	5894.37965019	5864.32356068	413.789722699	561.96699963	4220.06534933
Kr_chr2R_21102881_21104381	Dl09_1500	533.7	-4.0490342687	-1.071117458	-2.1997145519	1.258	-1.9519128885	1.748	-11421.256804	-10829.7231927	2680.79	1.85	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	1.3350372314	-0.583052405	1.9854741097	-0.8697067211	-0.5370195267	2.1718735695	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1	-0.2961448371	46.3879	1345.57	1707.03966538	1746.73818964	5082.1656051	676.758083832	7304.91594373	7088.98067074	1032.06276624	739.355345903	4672.591823
Kr_chr2R_21106250_21107750	Dl09_1500	227.7	-4.0490342687	-1.071117458	1.144	0.8255	-1.9519128885	0.754	-11421.256804	1216.25	-1080.28955536	6	5.22184875	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.8617696762	2.2226638794	1.7369122505	-0.8697067211	0.777780056	1.8277263641	1365.57	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	1	-0.2961448371	20.2108	1208.52	2321.50537634	2464.33941998	5259.37223696	994.645384615	7304.91594373	7819.44574187	681.748207171	390.88816568	5740.92937779
Kr_chr2R_21111262_21112762	Dl09_1500	4967.2	24.51	10.28	2.847	4.4085	1.753	2.156	8644.19	-10829.7231927	1172.13	15.79	5.934466966	-138.540774638	688	6.0786933899	3.1689620018	2.6296253204	3.2632937431	8.0693802833	6.0172128678	1.0676422119	6.694798708	5374.61	477.841008	1829.51	10012.82	1298.43	9554.8	2	1	69.0828	3613.1	1321.44031008	1947.2181388	6185.93652769	167.225952381	7304.91594373	7819.44574187	318.708770607	412.709821854	6530.34773446
Kr_chr2R_21119461_21120961	Dl09_1500	131.6	-4.0490342687	-1.071117458	-0.164	0.1505	-1.9519128885	0.235	-11421.256804	-10829.7231927	-1080.28955536	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.8729553223	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	1.7915358543	1115.12	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	1303.28	-0.3207914114	-0.2961448371	5.28782	-784.212239968	1986.29701822	1754.58865945	5713.92617339	480.517590397	5945.74717004	5747.04147363	692.597360483	799.289542921	4775.34521862
hb_chr3R_4499726_4501226	Dl09_1500	90.4	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	0.033	-11421.256804	1228.63	1483.72	-1.8820256979	-1.7120711804	575	-92.1272047072	-0.5039210594	-0.6117277838	0.494682312	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	-1.6743389457	-808.162744989	-51.654581424	-704.086730004	1690.1	-1098.73702073	1381.8	1	-0.2961448371	-59.2812955354	-784.212239968	4013.0250118	4287.62088975	6971.19697916	4049.83532176	8048.95349165	8154.40045627	3930.19900498	3876.41160369	7041.70091743
hb_chr3R_4501878_4503378	Dl09_1500	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	2639.31	1179.09	1197.06	-1.8820256979	0.824149117	693	-92.1272047072	-0.5039210594	-0.6117277838	0.7119007111	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	1.2522606849	-808.162744989	-51.654581424	1302.95	-634.173214937	1402.39	1447.23	1	-0.2961448371	-59.2812955354	-784.212239968	2837.11889439	3661.29483167	6971.19697916	1948.67324415	8048.95349165	8154.40045627	2373.44872752	2080.94839416	7041.70091743
hb_chr3R_4506037_4507537	Dl09_1500	-488.754195154	-4.0490342687	-1.071117458	-0.723	-4.1990460938	-1.9519128885	-2.826286439	-11421.256804	-10829.7231927	-1080.28955536	-1.8820256979	4.721246399	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.7259402275	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	1.8185725212	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	75.2404	-784.212239968	2409.51817913	1983.48389513	6971.19697916	2288.77466555	8048.95349165	8154.40045627	2171.73904508	1320.25948104	7041.70091743
hb_chr3R_4508383_4509883	Dl09_1500	-488.754195154	-4.0490342687	-1.071117458	0.331	1.2865	-1.9519128885	-2.826286439	2441.51	-10829.7231927	-1080.28955536	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.7152061462	-0.583052405	2.2864599227	0.8785042763	-0.5370195267	2.392179966	-808.162744989	-51.654581424	-704.086730004	-634.173214937	1545.33	-658.634837531	-0.3207914114	-0.2961448371	47.9379	1358.03	2101.7189266	2708.42105263	6971.19697916	1085.12247693	8048.95349165	8154.40045627	902.346419894	1207.25635396	7041.70091743
hb_chr3R_4512425_4513925	Dl09_1500	243.7	3.68	-1.071117458	0.896	0.6985	0.432	0.362	1505.09	-10829.7231927	3765.67	8.54	17.055669308	-138.540774638	-92.1272047072	1.8546051979	-0.6117277838	1.1182346344	2.0842990875	8.4054689407	2.0258703232	-0.5370195267	3.762157917	1227.82	-51.654581424	1065.03	-634.173214937	1246.45	-658.634837531	1	-0.2961448371	126.2188	5382.28	1591.48129028	1656.05723849	6974.57613996	993.048834199	8048.95349165	8154.40045627	584.639215686	898.284801649	7041.70091743
hb_chr3R_4519552_4521052	Dl09_1500	2296.3	7.67	3.4	0.638	2.1135	2.303	1.44	2552.78	-10829.7231927	1471.26	5.1	0.422339341	-138.540774638	436	5.1933445931	1.8048601151	2.1705150604	2.5375771523	4.481754303	3.6396965981	1.0447964668	2.4235029221	-808.162744989	282.68	-704.086730004	1482.69	1415.38	2881.38	1	2	-59.2812955354	3837.36	3067.91683599	3958.50117096	7347.4450471	2181.68058702	8048.95349165	8314.5621785	2309.35631623	2842.94517166	7041.70091743
hb_chr3R_4525090_4526590	Dl09_1500	4601.6	26.48	19.01	3.969	5.372	3.626	1.908	7287.46	1216.25	2618.46	12	13.611069345	586	405	6.7940149307	3.6134037972	2.4953112602	4.0608277321	8.8424143791	5.1417880058	2.6187095642	5.9150738716	-808.162744989	378.22	-704.086730004	5674.55	3921.27	7314.69	2	2	55.2735	-784.212239968	1846.12879884	1667.73800718	7326.88391039	710.034010048	8048.95349165	8194.06224406	759.548099082	815.116199375	6843.42594494
hb_chr3R_4530827_4532327	Dl09_1500	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	5352.79	-10829.7231927	-1080.28955536	-1.8820256979	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	1.1604804993	-0.583052405	1.6263585091	-0.8697067211	-0.5370195267	1.6181402206	1353.04	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	1133.76	1504.55856022	2233.9993752	5979.78033849	1270.55298439	8048.95349165	7618.25699746	1128.66657718	1911.6076166	6288.24127907
hb_chr3R_4541294_4542794	Dl09_1500	62.9	-4.0490342687	-1.071117458	-2.1997145519	-0.1355	-1.9519128885	-2.826286439	2540.41	2184.8	1209.53	-1.8820256979	4.113509275	574	-92.1272047072	-0.5039210594	-0.6117277838	1.4501132965	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	2.2973980904	-808.162744989	-51.654581424	1942.22	-634.173214937	2869.74	-658.634837531	1	-0.2961448371	-59.2812955354	-784.212239968	1719.30757882	1350.45531146	6591.58061292	771.442871515	7847.52209365	1951.14938737	850.972424303	1981.39008626	6452.92382878
Kni_chr3L_20671066_20672566	Dl09_1500	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	2478.6	-10829.7231927	-1080.28955536	6	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.3579668999	-0.583052405	-0.8876096928	-0.8697067211	0.8219189644	1.7834985256	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	-59.2812955354	-784.212239968	1315.69406743	4514.78055858	6979.16000519	1008.24590164	8021.36694375	8244.44280986	1434.53333333	1187.26441648	7168.28253903
Kni_chr3L_20680019_20681519	Dl09_1500	-488.754195154	-4.0490342687	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	1492.73	-10829.7231927	-1080.28955536	3.81	-1.7120711804	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	0.398140192	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	1.7439160347	1616.01	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	-0.2961448371	62.3927	-784.212239968	2999.76849488	3951.26640112	7003.35313842	803.541092637	8021.36694375	8244.44280986	776.353814587	1788.66968603	7168.28253903
Kni_chr3L_20688363_20689863	Dl09_1500	4116.1	19.39	15.28	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	10062.75	4642.06	4950.26	18	15.067526236	-138.540774638	-92.1272047072	8.5356488226	3.6492362022	2.292719841	8.9285335541	8.0429306031	4.6274380684	6.3245801926	5.7935285568	2242.76	715.185	1954.74	3996.65	3960.26	1329.45	1	4	312.75956	2342.28	1779.11388654	2774.4423415	7003.35313842	708.192341494	8021.36694375	8129.14841329	590.40490524	940.245820333	7168.28253903
eve_chr2R_5842399_5843899	Dl09_1500	443.3	-4.0490342687	-1.071117458	-0.634	0.2345	-1.9519128885	-0.059	2676.4	2543.96	1296.77	-1.8820256979	1.165407647	-138.540774638	245	-0.5039210594	-0.6117277838	2.0740456581	-0.583052405	-0.8876096928	1.1361093521	-0.5370195267	1.5416517257	1616.01	-51.654581424	-704.086730004	1202.08	-1098.73702073	1355.62	-0.3207914114	-0.2961448371	24.0504	-784.212239968	1686.457235	2379.27718716	6563.12941052	575.933333333	7719.68646523	8032.83635284	806.4	992	6481.66924547
eve_chr2R_5847367_5848867	Dl09_1500	1096.1	7.27	-1.071117458	-2.1997145519	-4.1990460938	-0.084	-2.826286439	1270.21	2271.49	2655.86	5.52	6	445	276	-0.5039210594	2.0320448875	1.6629595757	-0.583052405	-0.8876096928	0.8006157875	-0.5370195267	6.3757476807	1252.86	-51.654581424	977.37	4399.27	1207.46	5671.14	-0.3207914114	2	722.769	1283.27	1619.2	2369.29162041	6563.12941052	497.614964271	8047.65034505	8032.83635284	1301.74498527	1131.6	6481.66924547
eve_chr2R_5856193_5857693	Dl09_1500	263.2	4.93	-1.071117458	-2.1997145519	-4.1990460938	-1.9519128885	-2.826286439	1220.76	2296.27	1595.89	2.94	0.605917977	-138.540774638	-92.1272047072	-0.5039210594	-0.6117277838	1.4937591553	-0.583052405	-0.8876096928	-0.8697067211	-0.5370195267	2.0012292862	-808.162744989	-51.654581424	-704.086730004	-634.173214937	-1098.73702073	-658.634837531	2	-0.2961448371	110.6042	-784.212239968	2356.82792373	2499.09803922	5944.02317498	1484.72470349	7614.24903103	7691.2500012	1479.56415144	1945.91827501	6226.17968476
eve_chr2R_5867657_5869157	Dl09_1500	9513.4	41.82	28.83	4.014	5.9485	4.782	5.724	6227.4	6641.1	1197.06	30.44	24.220136282	820	683	9.1292085647	8.3890104293	3.2372131348	8.5142483711	12.3577671051	10.771159172	5.2468166351	7.5188803673	1666.1	1132.955	4347.77	6766.83	7180.86	7183.81	3	9	434.3825	2566.54	2782.83040489	2605.66421625	6665.76848719	2084.40269408	8361.80237756	57.3245283019	2114.79179615	1915.06347656	7367.05031725
brk_chrX_7179902_7180402	Dl09_500	84.7	-4.0490342687	-1.071117458	1.099	1.4865	-1.9519128885	0.651	1220.76	1092.4	1209.53	-1.8820256979	1.385609053	318	-92.1272047072	-0.5039210594	-0.6117277838	1.7323923111	2.6170692444	2.2740426063	-0.8697067211	-0.5370195267	0.563501358	2518.25	213.945	952.33	-634.173214937	-1098.73702073	-658.634837531	-0.3207914114	1	-59.2812955354	-784.212239968	348.636680054	666.101769912	5481.27432761	322.444700461	7467.23997238	6870.86553323	184.63183391	279.447563559	5988.0441447
brk_chrX_7189069_7189569	Dl09_500	1967.8	39.93	4.8	1.747	2.236	1.185	1.021	7608.88	1228.63	5249.39	15.95	14.552092989	-138.540774638	432	3.0830516815	5.2536520958	2.5519652367	2.8587055206	4.5694031715	-0.8697067211	5.6250081062	11.2653656006	2781.23	449.86	2505.73	-634.173214937	7193.84	1290.19	3	2	304.9866	1220.98	957.2	-45.0315789474	5437.30979041	109.712676056	7467.23997238	7604.61040712	-1037.43985583	-1219.43692574	5440.51302973
